,MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
3999,2018-03-31,InpatientServices,HEMATOLOGY/ONCOLOGY,Payer CA,1035
4000,2018-03-31,InpatientServices,HEMATOLOGY/ONCOLOGY,Payer F,2565
4001,2018-03-31,InpatientServices,HEMATOLOGY/ONCOLOGY,Payer O,659
4002,2018-03-31,InpatientServices,Hematology/Oncology,Payer S,386
4003,2018-03-31,InpatientServices,HEMATOLOGY/ONCOLOGY,Payer W,1539
4004,2018-03-31,InpatientServices,HMO,Payer CO,755
4005,2018-03-31,InpatientServices,HOSPICE,Payer F,1428
4006,2018-03-31,InpatientServices,HOSPICE AND PALLIATIVE CARE,Payer F,473
4007,2018-03-31,InpatientServices,HOSPITAL,Payer CA,592806
4008,2018-03-31,InpatientServices,HOSPITAL,Payer CO,36939
4009,2018-03-31,InpatientServices,HOSPITAL,Payer H,206555
4010,2018-03-31,InpatientServices,Hospital,Payer UN,63107
4011,2018-03-31,InpatientServices,HOSPITAL,Payer W,177140
4012,2018-03-31,InpatientServices,HOSPITAL ACUTE CARE,Payer B,2228
4013,2018-03-31,InpatientServices,HOSPITALIST,Payer CO,516
4014,2018-03-31,InpatientServices,HOSPITALIST,Payer F,5484
4015,2018-03-31,InpatientServices,HOSPITALIST,Payer O,2013
4016,2018-03-31,InpatientServices,Hospitalist,Payer S,416
4017,2018-03-31,InpatientServices,Hospitalist,Payer UN,431
4018,2018-03-31,InpatientServices,HOSPITALIST,Payer W,939
4019,2018-03-31,InpatientServices,INDEPENDENT LAB,Payer F,138
4020,2018-03-31,InpatientServices,INFECTIOUS DISEASE,Payer F,7888
4021,2018-03-31,InpatientServices,INFECTIOUS DISEASE,Payer O,2082
4022,2018-03-31,InpatientServices,Infectious Disease,Payer UN,782
4023,2018-03-31,InpatientServices,INFECTIOUS DISEASES,Payer CA,2279
4024,2018-03-31,InpatientServices,INFECTIOUS DISEASES,Payer CO,2117
4025,2018-03-31,InpatientServices,Infectious Diseases,Payer S,744
4026,2018-03-31,InpatientServices,INFECTIOUS DISEASES,Payer W,2163
4027,2018-03-31,InpatientServices,INP,Payer F,821784
4028,2018-03-31,InpatientServices,INP,Payer O,258042
4029,2018-03-31,InpatientServices,INTERNAL MEDICINE,Payer CA,17501
4030,2018-03-31,InpatientServices,INTERNAL MEDICINE,Payer CO,733
4031,2018-03-31,InpatientServices,INTERNAL MEDICINE,Payer F,20167
4032,2018-03-31,InpatientServices,INTERNAL MEDICINE,Payer O,12439
4033,2018-03-31,InpatientServices,Internal Medicine,Payer S,768
4034,2018-03-31,InpatientServices,Internal Medicine,Payer UN,793
4035,2018-03-31,InpatientServices,INTERNAL MEDICINE,Payer W,4636
4036,2018-03-31,InpatientServices,Internal Medicine - Cardiovascular Disease	,Payer S,584
4037,2018-03-31,InpatientServices,Internal Medicine - Gastroenterology	,Payer S,375
4038,2018-03-31,InpatientServices,Internal Medicine - Hematology & Oncology	,Payer S,401
4039,2018-03-31,InpatientServices,Internal Medicine - Infectious Disease	,Payer S,263
4040,2018-03-31,InpatientServices,Internal Medicine - Interventional Cardiology	,Payer S,1395
4041,2018-03-31,InpatientServices,Internal Medicine - Nephrology	,Payer S,677
4042,2018-03-31,InpatientServices,Internal Medicine - Pulmonary Disease	,Payer S,810
4043,2018-03-31,InpatientServices,INTERVENTIONAL CARDIOLOGY,Payer CA,577
4044,2018-03-31,InpatientServices,INTERVENTIONAL CARDIOLOGY,Payer F,9424
4045,2018-03-31,InpatientServices,INTERVENTIONAL CARDIOLOGY,Payer O,1710
4046,2018-03-31,InpatientServices,INTERVENTIONAL CARDIOLOGY,Payer W,1105
4047,2018-03-31,InpatientServices,INTERVENTIONAL RADIOLOGY,Payer CA,513
4048,2018-03-31,InpatientServices,INTERVENTIONAL RADIOLOGY,Payer F,1718
4049,2018-03-31,InpatientServices,INTERVENTIONAL RADIOLOGY,Payer O,671
4050,2018-03-31,InpatientServices,LABORATORY,Payer CA,591
4051,2018-03-31,InpatientServices,LABORATORY,Payer W,303
4052,2018-03-31,InpatientServices,MEDICAL DOCTOR,Payer H,24828
4053,2018-03-31,InpatientServices,MULT,Payer CA,107
4054,2018-03-31,InpatientServices,NEPHROLOGY,Payer CA,3702
4055,2018-03-31,InpatientServices,NEPHROLOGY,Payer CO,1997
4056,2018-03-31,InpatientServices,NEPHROLOGY,Payer F,11261
4057,2018-03-31,InpatientServices,NEPHROLOGY,Payer O,2779
4058,2018-03-31,InpatientServices,Nephrology,Payer S,1146
4059,2018-03-31,InpatientServices,Nephrology,Payer UN,0
4060,2018-03-31,InpatientServices,NEPHROLOGY,Payer W,667
4061,2018-03-31,InpatientServices,NEUROLOGICAL SURGERY,Payer CA,912
4062,2018-03-31,InpatientServices,NEUROLOGICAL SURGERY,Payer CO,37
4063,2018-03-31,InpatientServices,NEUROLOGY,Payer CA,2130
4064,2018-03-31,InpatientServices,NEUROLOGY,Payer CO,1701
4065,2018-03-31,InpatientServices,NEUROLOGY,Payer F,3139
4066,2018-03-31,InpatientServices,NEUROLOGY,Payer O,1831
4067,2018-03-31,InpatientServices,Neurology,Payer S,723
4068,2018-03-31,InpatientServices,Neurology,Payer UN,1127
4069,2018-03-31,InpatientServices,NEUROLOGY,Payer W,1058
4070,2018-03-31,InpatientServices,NEURORADIOLOGY,Payer F,77
4071,2018-03-31,InpatientServices,NEUROSURGERY,Payer F,7878
4072,2018-03-31,InpatientServices,NEUROSURGERY,Payer O,1034
4073,2018-03-31,InpatientServices,Neurosurgery,Payer UN,1110
4074,2018-03-31,InpatientServices,NEUROTOLOGY,Payer F,54
4075,2018-03-31,InpatientServices,NURSE ANESTHETIST,Payer H,658
4076,2018-03-31,InpatientServices,Nurse Anesthetist - Certified Registered	,Payer S,442
4077,2018-03-31,InpatientServices,NURSE PRACTITIONER,Payer CA,541
4078,2018-03-31,InpatientServices,NURSE PRACTITIONER,Payer CO,494
4079,2018-03-31,InpatientServices,Nurse Practitioner (Arnp),Payer UN,285
4080,2018-03-31,InpatientServices,Nurse Practitioner - Family	,Payer S,343
4081,2018-03-31,InpatientServices,Nurse Practitioner - Gerontology	,Payer S,71
4082,2018-03-31,InpatientServices,Nurse Practitioner - Primary Care	,Payer S,226
4083,2018-03-31,InpatientServices,NURSE PRACTITIONERS,Payer H,590
4084,2018-03-31,InpatientServices,OBSTETRICS & GYNECOLOGY,Payer CA,0
4085,2018-03-31,InpatientServices,OBSTETRICS & GYNECOLOGY,Payer F,1806
4086,2018-03-31,InpatientServices,OBSTETRICS & GYNECOLOGY,Payer O,1491
4087,2018-03-31,InpatientServices,OBSTETRICS & GYNECOLOGY,Payer W,824
4088,2018-03-31,InpatientServices,ONCOLOGY,Payer CA,520
4089,2018-03-31,InpatientServices,ONCOLOGY,Payer F,2312
4090,2018-03-31,InpatientServices,ONCOLOGY,Payer O,1223
4091,2018-03-31,InpatientServices,Oncology & Hematology,Payer UN,344
4092,2018-03-31,InpatientServices,OPHTHALMOLOGY,Payer CA,2191
4093,2018-03-31,InpatientServices,OPHTHALMOLOGY,Payer F,163
4094,2018-03-31,InpatientServices,Orthopedic Surgery,Payer B,1619
4095,2018-03-31,InpatientServices,ORTHOPEDIC SURGERY,Payer CA,3705
4096,2018-03-31,InpatientServices,ORTHOPEDIC SURGERY,Payer CO,508
4097,2018-03-31,InpatientServices,ORTHOPEDIC SURGERY,Payer F,16081
4098,2018-03-31,InpatientServices,ORTHOPEDIC SURGERY,Payer O,3636
4099,2018-03-31,InpatientServices,Orthopedic Surgery,Payer UN,776
4100,2018-03-31,InpatientServices,ORTHOPEDIC SURGERY,Payer W,464
4101,2018-03-31,InpatientServices,OSTEOPATH,Payer H,1617
4102,2018-03-31,InpatientServices,OTHER,Payer CA,2494
4103,2018-03-31,InpatientServices,Other,Payer UN,1371
4104,2018-03-31,InpatientServices,OTHER SPECIALIST,Payer H,0
4105,2018-03-31,InpatientServices,OTOLARYNGOLOGY PLASTIC SURGERY WITHIN THE HEAD & N,Payer O,2225
4106,2018-03-31,InpatientServices,PAIN MANAGEMENT,Payer CA,181
4107,2018-03-31,InpatientServices,PAIN MANAGEMENT,Payer F,910
4108,2018-03-31,InpatientServices,PAIN MANAGEMENT,Payer O,391
4109,2018-03-31,InpatientServices,PATHOLOGY,Payer CA,936
4110,2018-03-31,InpatientServices,PATHOLOGY,Payer CO,195
4111,2018-03-31,InpatientServices,PATHOLOGY,Payer F,1983
4112,2018-03-31,InpatientServices,PATHOLOGY,Payer O,966
4113,2018-03-31,InpatientServices,Pathology,Payer S,800
4114,2018-03-31,InpatientServices,Pathology,Payer UN,521
4115,2018-03-31,InpatientServices,PATHOLOGY,Payer W,770
4116,2018-03-31,InpatientServices,Pathology - Anatomic Pathology & Clinical Patholog,Payer S,1059
4117,2018-03-31,InpatientServices,Pathology - Clinical,Payer S,27
4118,2018-03-31,InpatientServices,PEDIATRIC SURGERY,Payer O,699
4119,2018-03-31,InpatientServices,PEDIATRICS,Payer F,909
4120,2018-03-31,InpatientServices,Pediatrics,Payer UN,1619
4121,2018-03-31,InpatientServices,Pediatrics - Radiology,Payer S,24
4122,2018-03-31,InpatientServices,PERFUSIONIST,Payer CA,0
4123,2018-03-31,InpatientServices,PHYS MEDICINE REHAB,Payer F,1128
4124,2018-03-31,InpatientServices,PHYS MEDICINE REHAB,Payer O,415
4125,2018-03-31,InpatientServices,PHYSICAL MEDICINE & REHAB,Payer CA,2284
4126,2018-03-31,InpatientServices,PHYSICAL MEDICINE & REHAB,Payer CO,174
4127,2018-03-31,InpatientServices,Physical Therapy,Payer UN,2331
4128,2018-03-31,InpatientServices,PHYSICIAN ASSISTANT,Payer B,102
4129,2018-03-31,InpatientServices,PHYSICIAN ASSISTANT,Payer H,1257
4130,2018-03-31,InpatientServices,Physician Assistant,Payer UN,283
4131,2018-03-31,InpatientServices,PHYSICIAN'S ASSISTANT,Payer CA,687
4132,2018-03-31,InpatientServices,PLASTIC SURGERY,Payer CA,380
4133,2018-03-31,InpatientServices,PLASTIC SURGERY,Payer F,470
4134,2018-03-31,InpatientServices,PODIATRIST,Payer H,1162
4135,2018-03-31,InpatientServices,PODIATRY,Payer CA,1864
4136,2018-03-31,InpatientServices,PODIATRY,Payer F,1362
4137,2018-03-31,InpatientServices,PODIATRY,Payer O,567
4138,2018-03-31,InpatientServices,PODIATRY,Payer W,819
4139,2018-03-31,InpatientServices,PSYCHIATRIC FAC,Payer H,870
4140,2018-03-31,InpatientServices,PSYCHIATRY,Payer CA,0
4141,2018-03-31,InpatientServices,PSYCHIATRY,Payer F,348
4142,2018-03-31,InpatientServices,PSYCHIATRY,Payer O,904
4143,2018-03-31,InpatientServices,Psychiatry,Payer S,177
4144,2018-03-31,InpatientServices,PSYCHIATRY,Payer W,1493
4145,2018-03-31,InpatientServices,Psychiatry & Neurology - Clinical Neurophysiology	,Payer S,265
4146,2018-03-31,InpatientServices,PSYCHOLOGIST - CLINICAL,Payer O,143
4147,2018-03-31,InpatientServices,Psychology,Payer UN,263
4148,2018-03-31,InpatientServices,PULMONARY DISEASE,Payer F,21203
4149,2018-03-31,InpatientServices,PULMONARY DISEASE,Payer O,3890
4150,2018-03-31,InpatientServices,PULMONARY DISEASES,Payer CA,5505
4151,2018-03-31,InpatientServices,PULMONARY DISEASES,Payer CO,996
4152,2018-03-31,InpatientServices,Pulmonary Diseases,Payer S,1338
4153,2018-03-31,InpatientServices,PULMONARY DISEASES,Payer W,1831
4154,2018-03-31,InpatientServices,Pulmonology,Payer UN,479
4155,2018-03-31,InpatientServices,RADIATION ONCOLOGY,Payer CA,642
4156,2018-03-31,InpatientServices,RADIATION ONCOLOGY,Payer F,2237
4157,2018-03-31,InpatientServices,RADIATION ONCOLOGY,Payer O,1207
4158,2018-03-31,InpatientServices,Radiation Oncology,Payer S,153
4159,2018-03-31,InpatientServices,RADIOL,Payer W,1244
4160,2018-03-31,InpatientServices,Radiology	,Payer S,14
4161,2018-03-31,InpatientServices,Radiology,Payer B,26
4162,2018-03-31,InpatientServices,RADIOLOGY,Payer CA,3886
4163,2018-03-31,InpatientServices,RADIOLOGY,Payer CO,677
4164,2018-03-31,InpatientServices,RADIOLOGY,Payer F,8880
4165,2018-03-31,InpatientServices,RADIOLOGY,Payer O,2620
4166,2018-03-31,InpatientServices,Radiology,Payer S,360
4167,2018-03-31,InpatientServices,Radiology,Payer UN,805
4168,2018-03-31,InpatientServices,RADIOLOGY,Payer W,931
4169,2018-03-31,InpatientServices,Radiology (Diagnostic),Payer UN,122
4170,2018-03-31,InpatientServices,Radiology - Diagnostic,Payer S,1749
4171,2018-03-31,InpatientServices,Radiology - Vascular and Interventional Radiology	,Payer S,128
4172,2018-03-31,InpatientServices,Registered Nurse First Assistant,Payer S,0
4173,2018-03-31,InpatientServices,REHAB FACILITY,Payer H,3473
4174,2018-03-31,InpatientServices,REHAB HOSP,Payer CA,2871
4175,2018-03-31,InpatientServices,RESIDENT,Payer CA,0
4176,2018-03-31,InpatientServices,RHEUMATOLOGY,Payer W,252
4177,2018-03-31,InpatientServices,SKILLED NURSING FACILITY,Payer CA,552
4178,2018-03-31,InpatientServices,SLEEP CENTER,Payer W,48
4179,2018-03-31,InpatientServices,SLEEP MEDICINE,Payer O,179
4180,2018-03-31,InpatientServices,SPECIAL SERVICES,Payer H,2102
4181,2018-03-31,InpatientServices,SPEECH THERAPIST,Payer F,413
4182,2018-03-31,InpatientServices,SPORTS MEDICINE,Payer CA,2282
4183,2018-03-31,InpatientServices,SUBSTANCE ABUSE FACILITY,Payer B,656
4184,2018-03-31,InpatientServices,SURG CRITICAL CARE,Payer CA,770
4185,2018-03-31,InpatientServices,Surgery (Plastic),Payer UN,1935
4186,2018-03-31,InpatientServices,Surgery (Thoracic),Payer UN,1620
4187,2018-03-31,InpatientServices,Surgery - General,Payer S,447
4188,2018-03-31,InpatientServices,Surgery - Neurological,Payer S,209
4189,2018-03-31,InpatientServices,Surgery - Trauma,Payer S,394
4190,2018-03-31,InpatientServices,Surgery - Vascular,Payer S,1793
4191,2018-03-31,InpatientServices,SURGERY ONCOLOGY,Payer F,481
4192,2018-03-31,InpatientServices,SURGERY ONCOLOGY,Payer O,328
4193,2018-03-31,InpatientServices,SURGICAL CRITICAL CARE,Payer F,4025
4194,2018-03-31,InpatientServices,SURGICAL CRITICAL CARE,Payer W,222
4195,2018-03-31,InpatientServices,SURGICAL ONCOLOGY,Payer CA,397
4196,2018-03-31,InpatientServices,SURGICAL ONCOLOGY,Payer CO,162
4197,2018-03-31,InpatientServices,THORACIC & CARDIOVASCULAR SURGERY,Payer W,1761
4198,2018-03-31,InpatientServices,THORACIC SURGERY,Payer CA,1282
4199,2018-03-31,InpatientServices,THORACIC SURGERY,Payer F,2317
4200,2018-03-31,InpatientServices,THORACIC SURGERY,Payer O,2181
4201,2018-03-31,InpatientServices,TRANSPLANT HEPATOLOGY,Payer W,0
4202,2018-03-31,InpatientServices,TRASUR,Payer W,435
4203,2018-03-31,InpatientServices,TSG,Payer CO,124
4204,2018-03-31,InpatientServices,TSURGE,Payer W,0
4205,2018-03-31,InpatientServices,UROLOGY,Payer CA,498
4206,2018-03-31,InpatientServices,UROLOGY,Payer F,4066
4207,2018-03-31,InpatientServices,UROLOGY,Payer O,531
4208,2018-03-31,InpatientServices,Urology,Payer S,382
4209,2018-03-31,InpatientServices,Urology,Payer UN,733
4210,2018-03-31,InpatientServices,UROLOGY,Payer W,407
4211,2018-03-31,InpatientServices,VASCULAR & INTERVENTIONAL RADIOLOGY,Payer F,170
4212,2018-03-31,InpatientServices,VASCULAR SURGERY,Payer CA,2216
4213,2018-03-31,InpatientServices,VASCULAR SURGERY,Payer F,1054
4214,2018-03-31,InpatientServices,VASCULAR SURGERY,Payer O,2206
4215,2018-03-31,OutpatientServices,,Payer F,960
4216,2018-03-31,OutpatientServices,ADVANCED RN PRACT,Payer CA,163
4217,2018-03-31,OutpatientServices,Ambulatory Health Care,Payer S,756
4218,2018-03-31,OutpatientServices,ANES ASSIST,Payer CA,670
4219,2018-03-31,OutpatientServices,ANESTHESIOLOGIST,Payer H,2345
4220,2018-03-31,OutpatientServices,Anesthesiology,Payer B,489
4221,2018-03-31,OutpatientServices,ANESTHESIOLOGY,Payer CA,1710
4222,2018-03-31,OutpatientServices,ANESTHESIOLOGY,Payer CO,381
4223,2018-03-31,OutpatientServices,ANESTHESIOLOGY,Payer F,6957
4224,2018-03-31,OutpatientServices,ANESTHESIOLOGY,Payer O,1409
4225,2018-03-31,OutpatientServices,Anesthesiology,Payer S,172
4226,2018-03-31,OutpatientServices,Anesthesiology,Payer UN,2055
4227,2018-03-31,OutpatientServices,ANESTHESIOLOGY,Payer W,440
4228,2018-03-31,OutpatientServices,ARNP,Payer CA,1171
4229,2018-03-31,OutpatientServices,CARD ELECTROPHYSIOLO,Payer CA,493
4230,2018-03-31,OutpatientServices,CARDE,Payer CO,103
4231,2018-03-31,OutpatientServices,CARDIAC ELECTROPHYSIOLOGY,Payer F,1909
4232,2018-03-31,OutpatientServices,CARDIAC ELECTROPHYSIOLOGY,Payer O,604
4233,2018-03-31,OutpatientServices,Cardiac Electrophysiology,Payer S,0
4234,2018-03-31,OutpatientServices,CARDIAC ELECTROPHYSIOLOGY,Payer W,69
4235,2018-03-31,OutpatientServices,CARDIOLOGY,Payer CA,1656
4236,2018-03-31,OutpatientServices,CARDIOLOGY,Payer F,5364
4237,2018-03-31,OutpatientServices,CARDIOLOGY,Payer O,1658
4238,2018-03-31,OutpatientServices,Cardiology,Payer UN,549
4239,2018-03-31,OutpatientServices,CARDIOLOGY,Payer W,653
4240,2018-03-31,OutpatientServices,Cardiology/Cardiovascular Disease,Payer B,196
4241,2018-03-31,OutpatientServices,CARDIOTHORACIC SURGERY,Payer F,370
4242,2018-03-31,OutpatientServices,CARDIOTHORACIC SURGERY,Payer O,203
4243,2018-03-31,OutpatientServices,Cardiovascular Medicine,Payer S,1319
4244,2018-03-31,OutpatientServices,CARDIOVASCULAR SURGERY,Payer CA,686
4245,2018-03-31,OutpatientServices,CARDIOVASCULAR SURGERY,Payer CO,449
4246,2018-03-31,OutpatientServices,CERTIFIED REGISTERED NURSE ANESTHETIST,Payer B,336
4247,2018-03-31,OutpatientServices,CLINIC,Payer CO,199
4248,2018-03-31,OutpatientServices,COLORECTAL SURGERY,Payer F,716
4249,2018-03-31,OutpatientServices,CRITICAL CARE,Payer F,141
4250,2018-03-31,OutpatientServices,DERMATOLOGY,Payer CA,17
4251,2018-03-31,OutpatientServices,DERMATOPATHOLOGY,Payer F,223
4252,2018-03-31,OutpatientServices,DIAG X-RAY CLINIC,Payer H,1041
4253,2018-03-31,OutpatientServices,DIAGNOSTIC RADIOLOGY,Payer CA,473
4254,2018-03-31,OutpatientServices,DIAGNOSTIC RADIOLOGY,Payer CO,805
4255,2018-03-31,OutpatientServices,DIALYSIS CENTER,Payer H,10031
4256,2018-03-31,OutpatientServices,ElectroPhysiologic Study,Payer CA,491
4257,2018-03-31,OutpatientServices,EMERGENCY MEDICINE,Payer F,324
4258,2018-03-31,OutpatientServices,EMERGENCY MEDICINE,Payer O,101
4259,2018-03-31,OutpatientServices,Emergency Medicine - Emergency Medical Services	,Payer S,11751
4260,2018-03-31,OutpatientServices,ENT,Payer CA,1915
4261,2018-03-31,OutpatientServices,ENT,Payer F,513
4262,2018-03-31,OutpatientServices,ENT,Payer O,228
4263,2018-03-31,OutpatientServices,ENT,Payer W,0
4264,2018-03-31,OutpatientServices,Ent/Otolaryngology,Payer UN,1270
4265,2018-03-31,OutpatientServices,FAMILY PRACTICE,Payer CA,1457
4266,2018-03-31,OutpatientServices,FAMILY PRACTICE,Payer F,1758
4267,2018-03-31,OutpatientServices,FAMILY PRACTICE,Payer O,1403
4268,2018-03-31,OutpatientServices,Family Practice,Payer UN,439
4269,2018-03-31,OutpatientServices,FAMILY PRACTICE,Payer W,1672
4270,2018-03-31,OutpatientServices,GASTROENTEROLOGY,Payer CA,378
4271,2018-03-31,OutpatientServices,GASTROENTEROLOGY,Payer CO,428
4272,2018-03-31,OutpatientServices,GASTROENTEROLOGY,Payer F,1217
4273,2018-03-31,OutpatientServices,GASTROENTEROLOGY,Payer O,1618
4274,2018-03-31,OutpatientServices,Gastroenterology,Payer S,185
4275,2018-03-31,OutpatientServices,Gastroenterology,Payer UN,95
4276,2018-03-31,OutpatientServices,GASTROENTEROLOGY,Payer W,1501
4277,2018-03-31,OutpatientServices,General Acute Care Hospital	,Payer S,385
4278,2018-03-31,OutpatientServices,GENERAL PRACTICE,Payer O,211
4279,2018-03-31,OutpatientServices,GENERAL PRACTICE,Payer W,703
4280,2018-03-31,OutpatientServices,General Surgery,Payer B,1110
4281,2018-03-31,OutpatientServices,GENERAL SURGERY,Payer CA,1703
4282,2018-03-31,OutpatientServices,GENERAL SURGERY,Payer CO,140
4283,2018-03-31,OutpatientServices,GENERAL SURGERY,Payer F,3094
4284,2018-03-31,OutpatientServices,GENERAL SURGERY,Payer O,925
4285,2018-03-31,OutpatientServices,General Surgery,Payer UN,0
4286,2018-03-31,OutpatientServices,GENERAL SURGERY,Payer W,724
4287,2018-03-31,OutpatientServices,Geriatrics,Payer S,268
4288,2018-03-31,OutpatientServices,GERIATRICS,Payer W,285
4289,2018-03-31,OutpatientServices,GROUP OF PROVIDERS,Payer S,0
4290,2018-03-31,OutpatientServices,GYNECOLOGIC ONCOLOGY,Payer F,219
4291,2018-03-31,OutpatientServices,GYNECOLOGIC ONCOLOGY,Payer O,1084
4292,2018-03-31,OutpatientServices,GYNECOLOGY,Payer F,650
4293,2018-03-31,OutpatientServices,GYNECOLOGY,Payer O,1500
4294,2018-03-31,OutpatientServices,Gynecology,Payer UN,9
4295,2018-03-31,OutpatientServices,HAND SURGERY,Payer F,1761
4296,2018-03-31,OutpatientServices,HDNCK,Payer W,347
4297,2018-03-31,OutpatientServices,HEMATOLOGY,Payer F,726
4298,2018-03-31,OutpatientServices,HEMATOLOGY/ONCOLOGY,Payer CA,653
4299,2018-03-31,OutpatientServices,HEMATOLOGY/ONCOLOGY,Payer CO,42
4300,2018-03-31,OutpatientServices,HEMATOLOGY/ONCOLOGY,Payer F,439
4301,2018-03-31,OutpatientServices,HEMATOLOGY/ONCOLOGY,Payer O,500
4302,2018-03-31,OutpatientServices,Hematology/Oncology,Payer S,484
4303,2018-03-31,OutpatientServices,HEMATOLOGY/ONCOLOGY,Payer W,1093
4304,2018-03-31,OutpatientServices,Home Health Care,Payer UN,4341
4305,2018-03-31,OutpatientServices,HOSPICE,Payer F,155
4306,2018-03-31,OutpatientServices,HOSPITAL,Payer CA,90347
4307,2018-03-31,OutpatientServices,HOSPITAL,Payer CO,3359
4308,2018-03-31,OutpatientServices,HOSPITAL,Payer H,85926
4309,2018-03-31,OutpatientServices,Hospital,Payer UN,10977
4310,2018-03-31,OutpatientServices,HOSPITAL,Payer W,5624
4311,2018-03-31,OutpatientServices,HOSPITAL ACUTE CARE,Payer B,2861
4312,2018-03-31,OutpatientServices,HOSPITALIST,Payer CO,1585
4313,2018-03-31,OutpatientServices,HOSPITALIST,Payer F,593
4314,2018-03-31,OutpatientServices,HOSPITALIST,Payer O,625
4315,2018-03-31,OutpatientServices,Hospitalist,Payer S,476
4316,2018-03-31,OutpatientServices,Hospitalist,Payer UN,521
4317,2018-03-31,OutpatientServices,HOSPITALIST,Payer W,904
4318,2018-03-31,OutpatientServices,INDEPENDENT LAB,Payer F,526
4319,2018-03-31,OutpatientServices,INFECTIOUS DISEASE,Payer F,463
4320,2018-03-31,OutpatientServices,INFECTIOUS DISEASE,Payer O,233
4321,2018-03-31,OutpatientServices,INFECTIOUS DISEASES,Payer CA,358
4322,2018-03-31,OutpatientServices,INTERNAL MEDICINE,Payer CA,413
4323,2018-03-31,OutpatientServices,INTERNAL MEDICINE,Payer CO,537
4324,2018-03-31,OutpatientServices,INTERNAL MEDICINE,Payer F,4208
4325,2018-03-31,OutpatientServices,INTERNAL MEDICINE,Payer O,1495
4326,2018-03-31,OutpatientServices,Internal Medicine,Payer S,350
4327,2018-03-31,OutpatientServices,Internal Medicine,Payer UN,65
4328,2018-03-31,OutpatientServices,INTERNAL MEDICINE,Payer W,2331
4329,2018-03-31,OutpatientServices,Internal Medicine - Cardiovascular Disease	,Payer S,21
4330,2018-03-31,OutpatientServices,Internal Medicine - Interventional Cardiology	,Payer S,1716
4331,2018-03-31,OutpatientServices,INTERVENTIONAL CARDIOLOGY,Payer CA,427
4332,2018-03-31,OutpatientServices,INTERVENTIONAL CARDIOLOGY,Payer F,7080
4333,2018-03-31,OutpatientServices,INTERVENTIONAL CARDIOLOGY,Payer O,783
4334,2018-03-31,OutpatientServices,INTERVENTIONAL CARDIOLOGY,Payer W,136
4335,2018-03-31,OutpatientServices,INTERVENTIONAL RADIOLOGY,Payer CA,1971
4336,2018-03-31,OutpatientServices,INTERVENTIONAL RADIOLOGY,Payer F,188
4337,2018-03-31,OutpatientServices,INTERVENTIONAL RADIOLOGY,Payer O,1205
4338,2018-03-31,OutpatientServices,LABORATORY,Payer CA,991
4339,2018-03-31,OutpatientServices,Laboratory,Payer UN,107
4340,2018-03-31,OutpatientServices,LABORATORY,Payer W,70
4341,2018-03-31,OutpatientServices,MEDICAL DOCTOR,Payer H,6590
4342,2018-03-31,OutpatientServices,NEPHROLOGY,Payer CA,301
4343,2018-03-31,OutpatientServices,NEPHROLOGY,Payer CO,172
4344,2018-03-31,OutpatientServices,NEPHROLOGY,Payer F,691
4345,2018-03-31,OutpatientServices,NEPHROLOGY,Payer O,262
4346,2018-03-31,OutpatientServices,NEPHROLOGY,Payer W,123
4347,2018-03-31,OutpatientServices,NEURA,Payer CO,59
4348,2018-03-31,OutpatientServices,NEUROLOGICAL SURGERY,Payer CA,372
4349,2018-03-31,OutpatientServices,NEUROLOGY,Payer CA,2027
4350,2018-03-31,OutpatientServices,NEUROLOGY,Payer CO,94
4351,2018-03-31,OutpatientServices,NEUROLOGY,Payer F,342
4352,2018-03-31,OutpatientServices,NEUROLOGY,Payer O,982
4353,2018-03-31,OutpatientServices,Neurology,Payer UN,183
4354,2018-03-31,OutpatientServices,NEUROLOGY,Payer W,791
4355,2018-03-31,OutpatientServices,NEURORADIOLOGY,Payer CA,0
4356,2018-03-31,OutpatientServices,NEUROSURGERY,Payer F,1329
4357,2018-03-31,OutpatientServices,Neurosurgery,Payer UN,280
4358,2018-03-31,OutpatientServices,NEUROTOLOGY,Payer F,299
4359,2018-03-31,OutpatientServices,NO SPECIALTY REQUIRED,Payer S,40
4360,2018-03-31,OutpatientServices,NUCLEAR MEDICINE,Payer F,283
4361,2018-03-31,OutpatientServices,NUCRAD,Payer W,45
4362,2018-03-31,OutpatientServices,NURSE ANESTHETIST,Payer H,966
4363,2018-03-31,OutpatientServices,Nurse Anesthetist - Certified Registered	,Payer S,516
4364,2018-03-31,OutpatientServices,NURSE PRACTITIONER,Payer CA,1181
4365,2018-03-31,OutpatientServices,Nurse Practitioner (Arnp),Payer UN,0
4366,2018-03-31,OutpatientServices,NURSE PRACTITIONERS,Payer H,1310
4367,2018-03-31,OutpatientServices,OBSTETRICS & GYNECOLOGY,Payer CA,1078
4368,2018-03-31,OutpatientServices,OBSTETRICS & GYNECOLOGY,Payer F,2436
4369,2018-03-31,OutpatientServices,OBSTETRICS & GYNECOLOGY,Payer O,1952
4370,2018-03-31,OutpatientServices,OMS,Payer W,2450
4371,2018-03-31,OutpatientServices,ONCOLOGY,Payer CA,481
4372,2018-03-31,OutpatientServices,ONCOLOGY,Payer CO,128
4373,2018-03-31,OutpatientServices,ONCOLOGY,Payer F,50
4374,2018-03-31,OutpatientServices,ONCOLOGY,Payer O,12
